Code	Genus	sepcies	Annual	Genomesize_BUSCO
KMR	Kryptolebias	marmoratus	NonAnnual	1010809404
ALM	Austrofundulus	limnaeatus	Annual	1062731731
FGR	Fundulopanchax	gardneri	SemiAnnual	1341395182
FAM	Fundulopanchax	amieti	SemiAnnual	916360783
FDL	Fundulopanchax	deltaense	SemiAnnual	1534992525
FFL	Fundulopanchax	filamentosum	SemiAnnual	1267267683
FSJ	Fundulopanchax	sjoedti	SemiAnnual	1136901875
APL	Aplocheilus	lineatus	NonAnnual	884480483
PLP	Pachypanchax	playfairii	NonAnnual	827623773.9
ALM	Austrofundulus	limnaeus	Annual	1360000000
XMA	Xiphophorus	maculatus	NonAnnual	684000000
FHT	Fundulus	heteroclitus	NonAnnual	1380000000
ETO	Epiplatys	togolensis	NonAnnual	759168472
EGH	Epiplatys	grahami	NonAnnual	957042966
EDG	Epiplatys	dageti	NonAnnual	696682598
ELM	Epiplatys	lamottei	NonAnnual	1006391357
EGN	Epiplatys	guineensis	NonAnnual	1065684976
ESP	Epiplatys	spilargyreius	NonAnnual	1284065107
EMF	Epiplatys	multifasciatus	NonAnnual	1053682529
APT	Archiaphyosemion	petersi	NonAnnual	1056928381
ARG	Archiaphyosemion	guineense	NonAnnual	992333635
AMS	Archiaphyosemion	maeseni	NonAnnual	1009897968
SSC	Scriptaphyosemion	schmitti	NonAnnual	863172144
SGG	Scriptaphyosemion	guignardi	NonAnnual	944920331
SBT	Scriptaphyosemion	bertholdi	NonAnnual	941750505
SCV	Scriptaphyosemion	cauveti	NonAnnual	804159757
CSB	Callopanchax	sibideorum	Annual	1000569874
CHW	Callopanchax	huwaldi	Annual	1569288918
CTO	Callopanchax	toddi	Annual	1008777674
CMR	Callopanchax	monroviae	Annual	758861639
ACY	Aphyosemion	cyanostictum	NonAnnual	1280836870
AKM	Aphyosemion	kouamense	NonAnnual	953894244
AAU	Aphyosemion	australe	NonAnnual	1150200734
AGM	Aphyosemion	gabunense_marginatum	NonAnnual	1084345326
ACG2	Aphyosemion	cognatum	NonAnnual	1232479164
APC	Aphyosemion	punctatum	NonAnnual	1352663106
ACM	Aphyosemion	cameronense	NonAnnual	1114410740
ACL	Aphyosemion	coeleste	NonAnnual	1462647824
AKN.C52	Aphyosemion	kunzi_1	SemiAnnual	1183550354
AKN.E16	Aphyosemion	kunzi_2	SemiAnnual	1151280154
FTH	Fundulosoma	thierryi	SemiAnnual	1208317331
PSY	Pronothobranchius	seymouri	Annual	1325180029
NOC	Nothobranchius	ocellatus	Annual	2012338370
NVS	Nothobranchius	vosseleri	Annual	1251485153
NFS	Nothobranchius	foerschi	Annual	1004695345
NKF	Nothobranchius	kafuensis	Annual	2517355942
NVG	Nothobranchius	virgatus	Annual	1168405699
NRC	Nothobranchius	rachovii	Annual	1300759172
NFZ	Nothobranchius	furzeri	Annual	1534967536
NOR	Nothobranchius	orthonotus	Annual	1548592001
FSC	Fundulopanchax	scheeli	SemiAnnual	1630152194

