#SpeciesCode	Sample	Ref	read1	read2
ACG2	A20ACG2	AAU	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/A20ACG2_1.fq.trimmed.paired.fq	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/A20ACG2_2.fq.trimmed.paired.fq
ACL	A19ACL	AAU	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/A19ACL_1.fq.trimmed.paired.fq	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/A19ACL_2.fq.trimmed.paired.fq
ACM	E17.ACM	AAU	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2016_5_3/concat/E17.ACM_1.concat.fq.gz	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2016_5_3/concat/E17.ACM_2.concat.fq.gz
ACY	A15ACY	AAU	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/A15ACY_1.fq.trimmed.paired.fq	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/A15ACY_2.fq.trimmed.paired.fq
AGM	8AGM	AAU	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/8AGM_1.fq.trimmed.paired.fq	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/8AGM_2.fq.trimmed.paired.fq
AKM	E15.AKM	AAU	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_12_18/E15.AKM_1.fq.gz.trimmed.paired.fq.gz	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_12_18/E15.AKM_2.fq.gz.trimmed.paired.fq.gz
AKN.E16	E16.AKN	AAU	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2016_5_3/concat/E16.AKN_1.concat.fq.gz	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2016_5_3/concat/E16.AKN_2.concat.fq.gz
AKN.C52	C52.AKN	AAU	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_12_18/C52.AKN_1.fq.gz.trimmed.paired.fq.gz	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_12_18/C52.AKN_2.fq.gz.trimmed.paired.fq.gz
APC	H1.APC	AAU	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2016_5_3/concat/H1.APC_1.concat.fq.gz	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2016_5_3/concat/H1.APC_2.concat.fq.gz
AMS	C18AMS	CTO	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C18AMS_1.fq.trimmed.paired.fq	/beegfs/group_dv/home/RCui/killifish_genomes/trim/trimmed_2015_11_18/C18AMS_2.fq.trimmed.paired.fq
